sku_producto,nombre_producto,descripcion,descripcion,Monto,cantidad,Promedio de altura,Promedio de ancho,costo_entrega,is_active,Promedio de precio_amazon,Promedio de stock
63050956747,¿Adivina Quién?,Juegos de mesa,Juguetes,437.27,1,,,0,FALSE,0,0
63050970110,Monopoly Gamer Hasbro Gaming Mario Kart,Juegos de mesa,Juguetes,3682.85,5,,,0,FALSE,0,0
63083588593,Maletin De Juguete Para Niños The Baby Shop Oficios Con Manija Ruedas Accesorios .,Juguetes didácticos,Juguetes,4085.08,4,56.33333333,41.33333333,759.92,FALSE,0,0
63083588622,"Patines en Linea Barbie, ajustables, con luz",Canicas,Juguetes,1648.34,2,56.25,79.75,0,FALSE,0,1
63083588782,Patines En Linea Cars Ajustables 2 En 1,Patinetas y Scooters Eléctricos,Equipo Deportivo,1166.54,2,55.91666667,35.66666667,4,TRUE,0,1
63083588790,Patines De 4 Ruedas Toy Story  Ajustables,Canicas,Juguetes,641.67,1,56.25,79.75,0,FALSE,0,1
63114583858,Lonchera Térmica Tipo Bento Box De 3 Divisiones Y Sellado Hermético Redlemon Incluye Funda Y Cubiertos.,Accesorios de cocina,Hogar,1596.51,3,13.98407643,11.69745223,563.26,TRUE,0,24
64370041671,Ventilador De Pedestal 16 Pulgadas 3 Velocidades Color Negro,Ventiladores,Línea Blanca,8565.82,16,51.42424242,17.15151515,344.89,TRUE,0,91
65574657559,Kit Taladro+ Rotomartillo + Esmeriladora + Accesorios Foreman.,Herramientas,Hogar,3940.54,2,32.2,23.8,889.35,FALSE,0,1
6629870416,Kit Tableta y diadema Ghia TECH KIDS,Tablets,Electrónicos,3210.54,2,17.40444444,13.62222222,1408.03,FALSE,1648.411972,0
67341933969,Set Lego Technic BMW M 1000 RR,Juguetes de construcción,Juguetes,5430.47,1,9,9,119.88,FALSE,0,0
67962816688,Audífonos Inalámbricos Con Estuche De Carga Diseño De Gato Con Bluetooth,Audífonos y Micrófonos,Electrónicos,1311.81,3,24.04655172,16.03189655,17200.02,TRUE,0,20
67962816691,Audífonos Inalámbricos Con Estuche De Carga Inpods Con Bluetooth,Audífonos y Micrófonos,Electrónicos,1574.61,3,24.04655172,16.03189655,17200.02,TRUE,0,20
67962821214,Audífonos Diadema Orejas De Gato Con Luces Led Gato,Audífonos y Micrófonos,Electrónicos,524.87,1,13.566,19.076,551,FALSE,0,0
68917691927,Tapete Batería Musical Para Niños Juguete Alfombra,Juguetes didácticos,Juguetes,729.27,1,56.33333333,41.33333333,759.92,FALSE,0,0
68953197332,Montable Eléctrico Bochito Rosa,Montables,Juguetes,4298.97,1,,,0,FALSE,0,0
